PRE_NO,UNIT,ROUTE,REASON,Longitude,Latitude
PTBJ02563,PTB台灣電力股份有限公司台中區營業處(維護組),育強街(70號.G5945HD01),孔蓋異常，恐影響民眾安危,120.6922653,24.15844934
PTBJ02564,PTB台灣電力股份有限公司台中區營業處(維護組),旱溪西路一段(439號),孔蓋異常，恐影響民眾安危,120.7000305,24.14099989
PTBJ02600,PTB台灣電力股份有限公司台中區營業處(維護組),"惠中路一段(市政北七路口,往西南方約70公尺.G5346GC8225)",孔蓋異常，恐影響民眾安危,120.6449942,24.16204694
PTBJ02601,PTB台灣電力股份有限公司台中區營業處(維護組),"至善路(台灣大道三段口,往北約65公尺.G5348AB4375)",孔蓋異常，恐影響民眾安危,120.6387882,24.17022961
PTBJ02602,PTB台灣電力股份有限公司台中區營業處(維護組),市政南二路(90號.G5245GA9333.G5245GA9307),孔蓋異常，恐影響民眾安危,120.637135,24.15582034
PTBJ02605,PTB台灣電力股份有限公司台中區營業處(維護組),軍仁街(5號.G6249CC2803),孔蓋異常，恐影響民眾安危,120.7111344,24.17625395
PW7J00379,PW7台灣自來水股份有限公司第四區管理處大里服務所,慈德路(158號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6987609,24.09582403
PWCJ00212,PWC台灣自來水股份有限公司第四區管理處大雅營運所,雅環路一段(268巷3號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6539142,24.2221129
PW7J00380,PW7台灣自來水股份有限公司第四區管理處大里服務所,東榮路(477號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6809338,24.10955608
PT5J00108,PT5台灣電力股份有限公司台中區營業處,大明路(與永大街口),通訊、重要管路管理監控資料傳送中斷、用戶停電處理,120.6780357,24.11505877
PWCJ00215,PWC台灣自來水股份有限公司第四區管理處大雅營運所,民興街(41號旁與大雅路交叉口),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6479757,24.22525282
PC2J00589,PC2中華電信股份有限公司臺中營運處第二客戶網路中心,崇德路三段(595號),通訊、重要管路管理監控資料傳送中斷、用戶停電處理,120.6863826,24.19456094
PTCJ00162,PTC台灣電力股份有限公司台中區營業處豐原分處,神洲路159巷(59號前),孔蓋異常，恐影響民眾安危,120.7019247,24.26667847
CG1J00516,CG1欣中天然氣股份有限公司,賴厝街36號(一帶),現場通報有瓦斯味道、設備損壞或用戶供氣中斷,120.6801224,24.16603821
PW4J01505,PW4台灣自來水股份有限公司第四區管理處台中給水廠,西屯路三段(玉門路口),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6108617,24.19081807
CG1J00517,CG1欣中天然氣股份有限公司,忠仁街(60號),現場通報有瓦斯味道、設備損壞或用戶供氣中斷,120.6681404,24.1404133
PW7J00382,PW7台灣自來水股份有限公司第四區管理處大里服務所,永豐路(300號之7),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.7039244,24.11485584
PW7J00383,PW7台灣自來水股份有限公司第四區管理處大里服務所,塗城路(780號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6970862,24.09044149
PW4J01506,PW4台灣自來水股份有限公司第四區管理處台中給水廠,進化北路(118巷口),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6874419,24.16313176
PC2J00590,PC2中華電信股份有限公司臺中營運處第二客戶網路中心,寧夏東八街(2號),通訊、重要管路管理監控資料傳送中斷、用戶停電處理,120.6619875,24.16623478
PW7J00384,PW7台灣自來水股份有限公司第四區管理處大里服務所,太文路(71巷27號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.70878,24.16069305
PW4J01507,PW4台灣自來水股份有限公司第四區管理處台中給水廠,柳川西路四段(與太平路),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6789725,24.14994326
PTCJ00163,PTC台灣電力股份有限公司台中區營業處豐原分處,成功路479巷(13號旁),孔蓋異常，恐影響民眾安危,120.7053418,24.25168224
PW4J01508,PW4台灣自來水股份有限公司第四區管理處台中給水廠,台灣大道三段(729巷口),孔蓋異常，恐影響民眾安危,120.6347768,24.17130449
PW4J01509,PW4台灣自來水股份有限公司第四區管理處台中給水廠,南興二路(與順興街口),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.7028085,24.17595026
CG1J00519,CG1欣中天然氣股份有限公司,台中路50號(一帶),路面異常，恐影響民眾安危,120.6827796,24.13460148
PTBJ02725,PTB台灣電力股份有限公司台中區營業處(維護組),忠明南路(777巷5號),孔蓋異常有聲響，恐影響用路人行車及民眾生活品質,120.6609483,24.12382291
CG1J00554,CG1欣中天然氣股份有限公司,南興路403號(一帶),現場通報有瓦斯味道、設備損壞或用戶供氣中斷,120.7038994,24.18077803
PC2J00616,PC2中華電信股份有限公司臺中營運處第二客戶網路中心,至善路(86-2號前),孔蓋異常有聲響，恐影響用路人行車及民眾生活品質,120.6404271,24.17246894
GW7J00136,GW7臺中市政府水利局(水利養護工程科),福順路(與福元路口),孔蓋異常有聲響，恐影響用路人行車及民眾生活品質,120.6267375,24.18021713
PC3J00115,PC3中華電信股份有限公司臺中營運處第三客戶網路中心,仁和路(183號),孔蓋異常有聲響，恐影響用路人行車及民眾生活品質,120.6579513,24.21736254
GW7J00137,GW7臺中市政府水利局(水利養護工程科),經貿路二段(與經貿五路口以南約25m),孔蓋異常有聲響，恐影響用路人行車及民眾生活品質,120.6576301,24.18981551
GW7J00138,GW7臺中市政府水利局(水利養護工程科),龍富十路(100號),孔蓋異常有聲響，恐影響用路人行車及民眾生活品質,120.6276433,24.13639408
PTBJ02793,PTB台灣電力股份有限公司台中區營業處(維護組),忠明南路(811號),路面異常，恐影響民眾安危,120.6612484,24.12241341
PW4J01604,PW4台灣自來水股份有限公司第四區管理處台中給水廠,柳陽西街(56號旁),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6919609,24.17327472
PW4J01605,PW4台灣自來水股份有限公司第四區管理處台中給水廠,北坑巷(9之7號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.7363789,24.16264776
PW7J00410,PW7台灣自來水股份有限公司第四區管理處大里服務所,新平路三段160巷11弄(12號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.7223695,24.15220717
